epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,800.831,0.79628,2.09789,1.30749,0.41162,0.41373,0.34804,0.25247,0.8985,1.677,1.46712,0.00998857,0.00332952,0.00998857,0.00332952,0.00998857,0.00332952,0.00998857,0.00332952
2,1514.47,0.91226,1.94357,1.3825,0.43957,0.35943,0.29222,0.19902,0.99232,2.1907,1.56127,0.0198896,0.00662988,0.0198896,0.00662988,0.0198896,0.00662988,0.0198896,0.00662988
3,2197.1,1.04688,2.15348,1.49051,0.36659,0.30947,0.20802,0.1354,1.15409,2.2395,1.81027,0.0296917,0.00989723,0.0296917,0.00989723,0.0296917,0.00989723,0.0296917,0.00989723
4,2866.13,1.07215,2.19722,1.50749,0.44095,0.37177,0.27709,0.18557,1.04533,1.86048,1.59622,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3536.68,0.99095,2.0526,1.4464,0.40021,0.35743,0.34256,0.24654,0.8929,1.7397,1.41164,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4209.48,0.93076,1.94674,1.40237,0.48341,0.41611,0.38349,0.28304,0.84209,1.63623,1.38319,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4881.51,0.88013,1.83938,1.35413,0.51518,0.48789,0.45437,0.35361,0.74922,1.41151,1.27237,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,5555.69,0.8527,1.78412,1.33308,0.49293,0.47275,0.44747,0.35108,0.74185,1.36635,1.27219,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,6226.23,0.83209,1.73515,1.31903,0.56331,0.47275,0.47792,0.38381,0.69472,1.30426,1.22623,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,6898.7,0.81099,1.69218,1.3014,0.51761,0.5238,0.49144,0.39713,0.6745,1.22008,1.1918,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,7572.78,0.79146,1.64694,1.28415,0.59131,0.50446,0.51501,0.41557,0.67335,1.20237,1.18603,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,8247.93,0.77354,1.59949,1.27066,0.58933,0.50108,0.51712,0.42644,0.62519,1.16457,1.13476,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,8919.29,0.75707,1.56211,1.25519,0.58301,0.52736,0.52433,0.43569,0.60486,1.14812,1.11584,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,9590.8,0.74193,1.51413,1.24174,0.59687,0.49403,0.52244,0.42911,0.63157,1.13469,1.12845,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,10262.1,0.73271,1.49727,1.2328,0.61399,0.5186,0.53641,0.44416,0.60726,1.12036,1.10956,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,10936.1,0.71596,1.47139,1.22234,0.61299,0.53064,0.54683,0.45837,0.58604,1.09209,1.09702,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,11612.7,0.71212,1.44821,1.21978,0.61023,0.53232,0.55108,0.46321,0.57314,1.07545,1.07708,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,12288.5,0.70738,1.42554,1.21705,0.51531,0.54212,0.55845,0.46526,0.57812,1.08773,1.0829,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,12965.1,0.70523,1.40685,1.21463,0.61883,0.54233,0.56429,0.47558,0.57657,1.05408,1.0846,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,13640.9,0.6918,1.37068,1.20198,0.63957,0.54636,0.57741,0.49044,0.57324,1.03066,1.07899,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,14316.1,0.68565,1.34766,1.19229,0.64456,0.5478,0.56081,0.47793,0.55311,1.07006,1.05812,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,14988.9,0.68015,1.33341,1.18948,0.65201,0.55003,0.57845,0.49705,0.54065,0.99176,1.04295,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,15662.6,0.67573,1.32304,1.18709,0.5303,0.57474,0.57278,0.48995,0.53941,1.00696,1.04338,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,16340.1,0.67164,1.30929,1.18316,0.55376,0.57319,0.58211,0.49858,0.53604,0.99886,1.04676,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,17015.7,0.65969,1.27999,1.17439,0.65638,0.53552,0.56655,0.485,0.53981,1.02021,1.04904,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,17686.1,0.65338,1.26599,1.16874,0.63145,0.54385,0.57203,0.49356,0.53052,0.9958,1.03673,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,18360.2,0.6539,1.25437,1.1687,0.63206,0.5881,0.59258,0.51115,0.52477,0.97122,1.02947,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,19035.3,0.64378,1.2383,1.16377,0.68596,0.53563,0.58924,0.50693,0.53344,0.9642,1.03779,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,19707.8,0.64317,1.21475,1.16015,0.55609,0.57963,0.59577,0.51513,0.51431,0.96779,1.01386,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,655.112,0.63031,1.19749,1.15262,0.64062,0.59542,0.59365,0.51464,0.50802,0.95153,1.01753,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1305.66,0.63372,1.18831,1.15281,0.60364,0.60036,0.57412,0.49855,0.50764,1.01831,1.00872,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1955.77,0.62859,1.1785,1.14764,0.68683,0.54651,0.59053,0.51307,0.51071,0.97433,1.01269,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2602.27,0.62527,1.16333,1.1435,0.62311,0.59808,0.59371,0.51754,0.50489,0.96159,1.01234,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3256.51,0.62108,1.15271,1.14291,0.64533,0.57439,0.5827,0.50686,0.50655,0.98743,1.01565,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3903.36,0.61723,1.14915,1.14403,0.6254,0.60119,0.60216,0.52322,0.49749,0.97503,1.00465,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4555.72,0.61158,1.11735,1.13395,0.63068,0.58175,0.60132,0.52594,0.49358,0.97238,1.00258,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,5207.63,0.60922,1.11447,1.1309,0.57383,0.62089,0.59952,0.52389,0.48632,0.96225,0.99263,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,5855.39,0.61242,1.11489,1.137,0.58513,0.54228,0.58633,0.51708,0.48614,0.98161,0.99738,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,6502.44,0.60879,1.10437,1.13364,0.56527,0.56216,0.58616,0.51245,0.49063,0.99406,1.00648,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,7149.38,0.60117,1.08666,1.12681,0.65409,0.56518,0.58862,0.5153,0.48671,0.99836,0.99712,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,7796.2,0.60071,1.07115,1.12544,0.54609,0.58539,0.59665,0.52492,0.4811,0.98741,0.98994,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,8445.44,0.59418,1.05781,1.1238,0.66797,0.56373,0.58286,0.51388,0.48105,1.00332,0.99131,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,9092.72,0.58962,1.03955,1.11808,0.6743,0.56996,0.59021,0.51948,0.48111,0.98714,0.99295,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,9737.87,0.58867,1.0402,1.11577,0.57609,0.56987,0.59777,0.52533,0.48668,0.98168,1.00117,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,10385,0.5846,1.02887,1.11526,0.56838,0.58473,0.5964,0.52559,0.47591,0.99838,0.98995,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,11031.7,0.58706,1.02379,1.11793,0.57575,0.57457,0.59775,0.5287,0.47256,0.98666,0.98244,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,11680.2,0.58348,1.01839,1.11327,0.56329,0.59363,0.59576,0.52624,0.47693,0.9864,0.98959,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,12328.8,0.58756,1.01511,1.11523,0.56766,0.58237,0.59825,0.52894,0.4746,1.00013,0.98376,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,12976.5,0.58001,0.99263,1.10841,0.53226,0.6045,0.58772,0.51799,0.46715,1.02029,0.97625,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,13621.5,0.57604,0.97891,1.10372,0.54403,0.59141,0.58824,0.51748,0.47172,1.0341,0.98327,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,14269.4,0.57391,0.97575,1.10361,0.65987,0.57562,0.59599,0.5261,0.47281,1.01518,0.9906,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14920.1,0.57703,0.98002,1.10541,0.67749,0.57121,0.59735,0.52739,0.47174,1.00806,0.98773,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,15570.8,0.5744,0.97538,1.10544,0.56737,0.58373,0.59766,0.52796,0.47131,1.01136,0.98672,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,16216.1,0.56502,0.9573,1.09744,0.55029,0.60785,0.59411,0.52523,0.46658,1.01653,0.98279,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,16863.4,0.56263,0.95198,1.09672,0.58293,0.55957,0.59437,0.52647,0.46462,1.00659,0.98174,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,17510.5,0.56322,0.94255,1.09707,0.57642,0.56517,0.59459,0.52768,0.46755,1.01612,0.98588,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,18160.2,0.56114,0.94289,1.09711,0.58325,0.56462,0.59126,0.52472,0.46554,1.01717,0.98248,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,18810.1,0.55912,0.93415,1.09235,0.57806,0.56302,0.5903,0.52377,0.46471,1.02267,0.98099,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,19458.4,0.56649,0.94427,1.09824,0.56629,0.58044,0.58753,0.523,0.46216,1.0288,0.97859,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,20104.4,0.55933,0.92963,1.09608,0.55371,0.59529,0.58534,0.52054,0.45957,1.03829,0.97462,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,612.437,0.53497,0.872,1.07633,0.55558,0.58885,0.58534,0.5216,0.46007,1.03635,0.97642,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1213.48,0.5478,0.89648,1.08639,0.55402,0.5922,0.58403,0.52053,0.46014,1.04266,0.97715,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1810,0.54837,0.90822,1.08645,0.55096,0.58911,0.58404,0.51944,0.45861,1.04326,0.97494,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2406.96,0.54388,0.89361,1.08136,0.55662,0.58855,0.58463,0.52013,0.45857,1.04339,0.97476,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3002.34,0.5475,0.89284,1.08301,0.55414,0.58744,0.58494,0.52033,0.45879,1.0456,0.97582,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3601.11,0.54584,0.88668,1.08461,0.65668,0.57333,0.58417,0.51984,0.45599,1.05091,0.9735,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,4198.37,0.53873,0.87106,1.07718,0.66584,0.56806,0.5836,0.51949,0.45419,1.05575,0.97153,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,4791.26,0.54023,0.87164,1.07713,0.55004,0.59228,0.58233,0.51798,0.45471,1.05776,0.97179,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,5387.25,0.54062,0.87828,1.07998,0.55373,0.5884,0.58093,0.51647,0.4563,1.05836,0.97359,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,5982.1,0.54194,0.86826,1.07823,0.56049,0.58037,0.5792,0.51567,0.45542,1.0601,0.97315,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,6574.6,0.533,0.85937,1.0741,0.55448,0.5839,0.57868,0.51515,0.45489,1.06105,0.97227,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,7169.13,0.53618,0.85524,1.07496,0.55276,0.58316,0.57784,0.51521,0.45426,1.0624,0.97203,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
